"resultId","raceId","driverId","constructorId","number","grid","position","positionText","positionOrder","points","laps","time","milliseconds","fastestLap","rank","fastestLapTime","fastestLapSpeed","statusId"
23011,952,815,10,11,9,7,"7",7,6,66,"+1:19.538",6179555,37,15,"01:29.8","186.612",1
23012,952,13,3,19,18,8,"8",8,4,66,"+1:20.707",6180724,43,9,"01:29.2","187.789",1
23013,952,18,1,22,12,9,"9",9,2,65,"",NA,39,18,"01:30.3","185.663",11
23014,952,826,5,26,13,10,"10",10,1,65,"",NA,53,1,"01:26.9","192.735",11
23015,952,821,210,21,16,11,"11",11,0,65,"",NA,34,17,"01:30.1","185.912",11
23016,952,828,15,9,19,12,"12",12,0,65,"",NA,42,12,"01:29.7","186.791",11
23017,952,835,4,30,17,13,"13",13,0,65,"",NA,35,14,"01:29.8","186.658",11
23018,952,825,4,20,15,14,"14",14,0,65,"",NA,57,5,"01:28.7","188.894",11
23019,952,831,15,12,20,15,"15",15,0,65,"",NA,38,16,"01:29.9","186.396",11
23020,952,836,209,94,21,16,"16",16,0,65,"",NA,37,19,"01:31.2","183.786",11
23021,952,837,209,88,22,17,"17",17,0,65,"",NA,52,10,"01:29.4","187.445",11
23022,952,154,210,8,14,NA,"R",18,0,56,"",NA,41,7,"01:29.0","188.347",5
23023,952,4,1,14,10,NA,"R",19,0,45,"",NA,41,13,"01:29.8","186.718",5
23024,952,807,10,27,11,NA,"R",20,0,20,"",NA,8,20,"01:31.8","182.529",5
23025,952,1,131,44,1,NA,"R",21,0,0,"",NA,NA,0,"","",4
23026,952,3,131,6,2,NA,"R",22,0,0,"",NA,NA,0,"","",4
23027,953,1,131,44,3,1,"1",1,25,78,"59:29.1",7169133,71,1,"01:17.9","154.135",1
23028,953,817,9,3,1,2,"2",2,18,78,"7.252",7176385,67,3,"01:18.3","153.437",1
23029,953,815,10,11,7,3,"3",3,15,78,"13.825",7182958,64,4,"01:18.4","153.139",1
23030,953,20,6,5,4,4,"4",4,12,78,"15.846",7184979,62,2,"01:18.0","154.005",1
23031,953,4,1,14,9,5,"5",5,10,78,"+1:25.076",7254209,72,8,"01:19.2","151.739",1
23032,953,807,10,27,5,6,"6",6,8,78,"+1:32.999",7262132,74,11,"01:19.2","151.62",1
23033,953,3,131,6,2,7,"7",7,6,78,"+1:33.290",7262423,74,6,"01:18.8","152.523",1
23034,953,832,5,55,6,8,"8",8,4,77,"",NA,70,5,"01:18.5","152.997",11
23035,953,18,1,22,13,9,"9",9,2,77,"",NA,66,12,"01:19.7","150.786",11
23036,953,13,3,19,14,10,"10",10,1,77,"",NA,69,9,"01:19.2","151.656",11
23037,953,821,210,21,12,11,"11",11,0,77,"",NA,69,7,"01:19.1","151.814",11
23038,953,822,3,77,10,12,"12",12,0,77,"",NA,66,10,"01:19.2","151.637",11
23039,953,154,210,8,15,13,"13",13,0,76,"",NA,65,14,"01:20.2","149.755",12
23040,953,836,209,94,20,14,"14",14,0,76,"",NA,60,15,"01:20.4","149.469",12
23041,953,837,209,88,19,15,"15",15,0,74,"",NA,70,13,"01:19.9","150.413",14
23042,953,828,15,9,17,NA,"R",16,0,51,"",NA,51,16,"01:21.3","147.687",4
23043,953,831,15,12,0,NA,"R",17,0,48,"",NA,46,17,"01:21.9","146.701",31
23044,953,830,9,33,0,NA,"R",18,0,34,"",NA,34,18,"01:26.6","138.779",3
23045,953,825,4,20,16,NA,"R",19,0,32,"",NA,27,19,"01:29.8","133.774",31
23046,953,826,5,26,8,NA,"R",20,0,18,"",NA,14,20,"01:37.9","122.715",3
23047,953,8,6,7,11,NA,"R",21,0,10,"",NA,10,21,"01:47.1","112.116",3
23048,953,835,4,30,18,NA,"R",22,0,7,"",NA,2,22,"01:58.5","101.399",3
23049,954,1,131,44,1,1,"1",1,25,70,"31:05.3",5465296,68,2,"01:16.0","206.625",1
23050,954,20,6,5,3,2,"2",2,18,70,"5.011",5470307,70,3,"01:16.3","205.769",1
23051,954,822,3,77,7,3,"3",3,15,70,"46.422",5511718,68,10,"01:16.9","204.055",1
23052,954,830,9,33,5,4,"4",4,12,70,"53.02",5518316,49,4,"01:16.3","205.71",1
23053,954,3,131,6,2,5,"5",5,10,70,"+1:02.093",5527389,60,1,"01:15.6","207.669",1
23054,954,8,6,7,6,6,"6",6,8,70,"+1:03.017",5528313,44,9,"01:16.9","204.105",1
23055,954,817,9,3,4,7,"7",7,6,70,"+1:03.634",5528930,51,5,"01:16.5","205.207",1
23056,954,807,10,27,9,8,"8",8,4,69,"",NA,68,8,"01:16.6","204.944",11
23057,954,832,5,55,20,9,"9",9,2,69,"",NA,54,7,"01:16.6","205.014",11
23058,954,815,10,11,11,10,"10",10,1,69,"",NA,54,6,"01:16.6","205.065",11
23059,954,4,1,14,10,11,"11",11,0,69,"",NA,67,13,"01:17.3","203.081",11
23060,954,826,5,26,15,12,"12",12,0,69,"",NA,50,11,"01:16.9","204.044",11
23061,954,821,210,21,13,13,"13",13,0,68,"",NA,48,15,"01:17.7","201.981",12
23062,954,154,210,8,14,14,"14",14,0,68,"",NA,50,12,"01:17.3","203.149",12
23063,954,828,15,9,21,15,"15",15,0,68,"",NA,63,17,"01:18.1","201.019",12
23064,954,825,4,20,22,16,"16",16,0,68,"",NA,42,18,"01:18.2","200.7",12
23065,954,836,209,94,17,17,"17",17,0,68,"",NA,48,19,"01:18.3","200.551",12
23066,954,831,15,12,18,18,"18",18,0,68,"",NA,66,16,"01:17.9","201.579",12
23067,954,837,209,88,19,19,"19",19,0,68,"",NA,57,20,"01:18.7","199.593",12
23068,954,13,3,19,8,NA,"R",20,0,35,"",NA,32,14,"01:17.4","202.774",31
23069,954,835,4,30,16,NA,"R",21,0,16,"",NA,6,22,"01:19.9","196.542",31
23070,954,18,1,22,12,NA,"R",22,0,9,"",NA,5,21,"01:19.5","197.588",131
23071,955,3,131,6,1,1,"1",1,25,51,"32:52.4",5572366,48,1,"01:46.5","202.946",1
23072,955,20,6,5,3,2,"2",2,18,51,"16.696",5589062,49,5,"01:47.0","201.917",1
23073,955,815,10,11,7,3,"3",3,15,51,"25.241",5597607,45,4,"01:47.0","201.988",1
23074,955,8,6,7,4,4,"4",4,12,51,"33.102",5605468,41,6,"01:47.2","201.629",1
23075,955,1,131,44,10,5,"5",5,10,51,"56.335",5628701,42,2,"01:46.8","202.306",1
23076,955,822,3,77,8,6,"6",6,8,51,"+1:00.886",5633252,50,9,"01:47.6","200.836",1
23077,955,817,9,3,2,7,"7",7,6,51,"+1:09.229",5641595,51,12,"01:47.7","200.59",1
23078,955,830,9,33,9,8,"8",8,4,51,"+1:10.696",5643062,50,3,"01:47.0","202.021",1
23079,955,807,10,27,12,9,"9",9,2,51,"+1:17.708",5650074,37,15,"01:48.0","200.077",1
23080,955,13,3,19,5,10,"10",10,1,51,"+1:25.375",5657741,35,13,"01:47.8","200.543",1
23081,955,18,1,22,19,11,"11",11,0,51,"+1:44.817",5677183,50,10,"01:47.6","200.802",1
23082,955,831,15,12,15,12,"12",12,0,50,"",NA,48,11,"01:47.7","200.642",11
23083,955,154,210,8,11,13,"13",13,0,50,"",NA,48,14,"01:47.9","200.205",11
23084,955,825,4,20,22,14,"14",14,0,50,"",NA,41,19,"01:49.3","197.752",11
23085,955,835,4,30,21,15,"15",15,0,50,"",NA,48,8,"01:47.6","200.875",11
23086,955,821,210,21,14,16,"16",16,0,50,"",NA,50,7,"01:47.6","200.912",11
23087,955,828,15,9,20,17,"17",17,0,50,"",NA,48,17,"01:48.9","198.449",11
23088,955,837,209,88,16,18,"18",18,0,49,"",NA,27,21,"01:51.4","194.053",12
23089,955,4,1,14,13,NA,"R",19,0,42,"",NA,27,18,"01:49.1","198.08",6
23090,955,836,209,94,17,NA,"R",20,0,39,"",NA,33,20,"01:50.6","195.447",23
23091,955,832,5,55,18,NA,"R",21,0,31,"",NA,31,16,"01:48.8","198.621",22
23092,955,826,5,26,6,NA,"R",22,0,6,"",NA,2,22,"01:53.2","190.963",22
23093,956,1,131,44,1,1,"1",1,25,71,"27:38.1",5258107,67,1,"01:08.4","227.647",1
23094,956,830,9,33,8,2,"2",2,18,71,"5.719",5263826,69,5,"01:09.6","223.7",1
23095,956,8,6,7,4,3,"3",3,15,71,"6.024",5264131,66,4,"01:08.9","226.11",1
23096,956,3,131,6,6,4,"4",4,12,71,"16.71",5274817,66,2,"01:08.5","227.381",1
23097,956,817,9,3,5,5,"5",5,10,71,"30.981",5289088,66,3,"01:08.8","226.459",1
23098,956,18,1,22,3,6,"6",6,8,71,"37.706",5295813,70,9,"01:10.0","222.476",1
23099,956,154,210,8,13,7,"7",7,6,71,"44.668",5302775,67,8,"01:09.9","222.718",1
23100,956,832,5,55,15,8,"8",8,4,71,"47.4",5305507,68,11,"01:10.1","222.042",1
23101,956,822,3,77,7,9,"9",9,2,70,"",NA,55,12,"01:10.2","221.814",11
23102,956,836,209,94,12,10,"10",10,1,70,"",NA,67,19,"01:10.9","219.782",11
23103,956,821,210,21,11,11,"11",11,0,70,"",NA,55,6,"01:09.7","223.456",11
23104,956,835,4,30,19,12,"12",12,0,70,"",NA,53,13,"01:10.2","221.757",11
23105,956,831,15,12,21,13,"13",13,0,70,"",NA,46,16,"01:10.4","221.168",11
23106,956,825,4,20,17,14,"14",14,0,70,"",NA,56,17,"01:10.4","221.058",11
23107,956,828,15,9,18,15,"15",15,0,70,"",NA,58,18,"01:10.7","220.264",11
23108,956,837,209,88,20,16,"16",16,0,70,"",NA,66,15,"01:10.3","221.398",11
23109,956,815,10,11,16,17,"17",17,0,69,"",NA,66,10,"01:10.1","222.099",23
23110,956,4,1,14,14,18,"18",18,0,64,"",NA,44,20,"01:11.0","219.284",84
23111,956,807,10,27,2,19,"19",19,0,64,"",NA,53,14,"01:10.3","221.502",23
23112,956,13,3,19,10,20,"20",20,0,63,"",NA,59,7,"01:09.9","222.801",23
23113,956,20,6,5,9,NA,"R",21,0,26,"",NA,10,21,"01:11.4","217.992",27
23114,956,826,5,26,22,NA,"R",22,0,2,"",NA,2,22,"01:18.3","198.891",31
23115,957,1,131,44,1,1,"1",1,25,52,"34:55.8",5695831,45,3,"01:35.8","221.44",1
23116,957,830,9,33,3,2,"2",2,18,52,"8.25",5704081,41,6,"01:36.4","219.979",1
23117,957,3,131,6,2,3,"3",3,15,52,"16.911",5712742,44,1,"01:35.5","221.957",1
23118,957,817,9,3,4,4,"4",4,12,52,"26.211",5722042,52,4,"01:36.0","220.882",1
23119,957,8,6,7,5,5,"5",5,10,52,"+1:09.743",5765574,39,8,"01:37.0","218.648",1
23120,957,815,10,11,10,6,"6",6,8,52,"+1:16.941",5772772,35,15,"01:37.9","216.625",1
23121,957,807,10,27,8,7,"7",7,6,52,"+1:17.712",5773543,51,11,"01:37.6","217.25",1
23122,957,832,5,55,7,8,"8",8,4,52,"+1:25.858",5781689,43,10,"01:37.4","217.734",1
23123,957,20,6,5,11,9,"9",9,2,52,"+1:31.654",5787485,44,7,"01:36.9","218.786",1
23124,957,826,5,26,15,10,"10",10,1,52,"+1:32.600",5788431,35,13,"01:37.7","217.141",1
23125,957,13,3,19,12,11,"11",11,0,51,"",NA,40,5,"01:36.1","220.588",11
23126,957,18,1,22,17,12,"12",12,0,51,"",NA,36,16,"01:37.9","216.609",11
23127,957,4,1,14,9,13,"13",13,0,51,"",NA,43,2,"01:35.7","221.676",11
23128,957,822,3,77,6,14,"14",14,0,51,"",NA,45,9,"01:37.4","217.775",11
23129,957,831,15,12,21,15,"15",15,0,51,"",NA,43,17,"01:38.7","214.847",11
23130,957,821,210,21,14,16,"16",16,0,51,"",NA,44,14,"01:37.7","217.039",11
23131,957,825,4,20,16,17,"17",17,0,49,"",NA,43,12,"01:37.6","217.248",6
23132,957,835,4,30,18,NA,"R",18,0,37,"",NA,36,18,"01:39.8","212.596",6
23133,957,837,209,88,19,NA,"R",19,0,24,"",NA,23,19,"01:41.4","209.189",20
23134,957,154,210,8,13,NA,"R",20,0,17,"",NA,14,20,"01:55.5","183.604",31
23135,957,828,15,9,22,NA,"R",21,0,11,"",NA,9,21,"02:00.3","176.309",131
23136,957,836,209,94,20,NA,"R",22,0,6,"",NA,4,22,"02:48.8","125.634",20
23137,958,1,131,44,2,1,"1",1,25,70,"40:30.1",6030115,69,3,"01:23.8","188.095",1
23138,958,3,131,6,1,2,"2",2,18,70,"1.977",6032092,60,2,"01:23.7","188.497",1
23139,958,817,9,3,3,3,"3",3,15,70,"27.539",6057654,60,5,"01:24.6","186.407",1
23140,958,20,6,5,5,4,"4",4,12,70,"28.213",6058328,59,4,"01:24.4","186.904",1
23141,958,830,9,33,4,5,"5",5,10,70,"48.659",6078774,40,7,"01:24.7","186.234",1
23142,958,8,6,7,14,6,"6",6,8,70,"49.044",6079159,52,1,"01:23.1","189.822",1
23143,958,4,1,14,7,7,"7",7,6,69,"",NA,62,8,"01:25.0","185.639",11
23144,958,832,5,55,6,8,"8",8,4,69,"",NA,67,10,"01:25.1","185.323",11
23145,958,822,3,77,10,9,"9",9,2,69,"",NA,59,11,"01:25.3","184.954",11
23146,958,807,10,27,9,10,"10",10,1,69,"",NA,69,13,"01:25.4","184.696",11
23147,958,815,10,11,13,11,"11",11,0,69,"",NA,65,9,"01:25.0","185.502",11
23148,958,835,4,30,17,12,"12",12,0,69,"",NA,41,16,"01:25.7","183.94",11
23149,958,821,210,21,15,13,"13",13,0,69,"",NA,39,17,"01:26.0","183.486",11
23150,958,154,210,8,11,14,"14",14,0,69,"",NA,56,18,"01:26.0","183.48",11
23151,958,825,4,20,19,15,"15",15,0,69,"",NA,39,19,"01:26.2","182.901",11
23152,958,826,5,26,12,16,"16",16,0,69,"",NA,48,6,"01:24.7","186.273",11
23153,958,831,15,12,16,17,"17",17,0,69,"",NA,66,15,"01:25.7","184.084",11
23154,958,13,3,19,18,18,"18",18,0,68,"",NA,68,12,"01:25.3","184.904",12
23155,958,836,209,94,20,19,"19",19,0,68,"",NA,47,20,"01:26.5","182.28",12
23156,958,828,15,9,22,20,"20",20,0,68,"",NA,47,14,"01:25.5","184.517",12
23157,958,837,209,88,21,21,"21",21,0,68,"",NA,64,22,"01:27.8","179.649",12
23158,958,18,1,22,8,NA,"R",22,0,60,"",NA,9,21,"01:26.7","181.817",44
23159,959,1,131,44,2,1,"1",1,25,67,"30:44.2",5444200,52,3,"01:18.7","209.107",1
23160,959,817,9,3,3,2,"2",2,18,67,"6.996",5451196,48,1,"01:18.4","209.918",1
23161,959,830,9,33,4,3,"3",3,15,67,"13.413",5457613,47,4,"01:18.9","208.673",1
23162,959,3,131,6,1,4,"4",4,12,67,"15.845",5460045,51,5,"01:19.1","208.114",1
23163,959,20,6,5,6,5,"5",5,10,67,"32.57",5476770,48,2,"01:18.7","209.203",1
23164,959,8,6,7,5,6,"6",6,8,67,"37.023",5481223,36,6,"01:19.6","206.937",1
23165,959,807,10,27,8,7,"7",7,6,67,"+1:10.049",5514249,46,12,"01:20.1","205.686",1
23166,959,18,1,22,12,8,"8",8,4,66,"",NA,48,9,"01:19.8","206.395",11
23167,959,822,3,77,7,9,"9",9,2,66,"",NA,36,15,"01:20.4","204.699",11
23168,959,815,10,11,9,10,"10",10,1,66,"",NA,46,8,"01:19.6","206.848",11
23169,959,821,210,21,11,11,"11",11,0,66,"",NA,56,10,"01:19.9","206.131",11
23170,959,4,1,14,13,12,"12",12,0,66,"",NA,50,13,"01:20.1","205.49",11
23171,959,154,210,8,20,13,"13",13,0,66,"",NA,58,14,"01:20.2","205.188",11
23172,959,832,5,55,15,14,"14",14,0,66,"",NA,54,11,"01:20.0","205.94",11
23173,959,826,5,26,18,15,"15",15,0,66,"",NA,51,7,"01:19.6","206.903",11
23174,959,825,4,20,16,16,"16",16,0,66,"",NA,42,21,"01:21.6","201.673",11
23175,959,836,209,94,17,17,"17",17,0,65,"",NA,49,16,"01:20.7","204.019",12
23176,959,828,15,9,22,18,"18",18,0,65,"",NA,35,18,"01:21.2","202.758",12
23177,959,835,4,30,14,19,"19",19,0,65,"",NA,55,17,"01:21.1","202.97",12
23178,959,837,209,88,19,20,"20",20,0,65,"",NA,56,22,"01:21.8","201.19",12
23179,959,831,15,12,21,NA,"R",21,0,57,"",NA,45,19,"01:21.4","202.24",131
23180,959,13,3,19,10,NA,"R",22,0,36,"",NA,31,20,"01:21.5","202.101",22
23181,960,3,131,6,1,1,"1",1,25,44,"44:51.1",6291058,11,2,"01:51.7","225.64",1
23182,960,817,9,3,5,2,"2",2,18,44,"14.113",6305171,11,4,"01:52.5","224.205",1
23183,960,1,131,44,21,3,"3",3,15,44,"27.634",6318692,40,1,"01:51.6","225.969",1
23184,960,807,10,27,7,4,"4",4,12,44,"35.907",6326965,41,10,"01:53.5","222.094",1
23185,960,815,10,11,6,5,"5",5,10,44,"40.66",6331718,34,8,"01:53.4","222.321",1
23186,960,20,6,5,4,6,"6",6,8,44,"45.394",6336452,35,5,"01:52.7","223.674",1
23187,960,4,1,14,22,7,"7",7,6,44,"59.445",6350503,43,15,"01:54.5","220.243",1
23188,960,822,3,77,8,8,"8",8,4,44,"+1:00.151",6351209,31,12,"01:54.1","220.946",1
23189,960,8,6,7,3,9,"9",9,2,44,"+1:01.109",6352167,27,9,"01:53.5","222.157",1
23190,960,13,3,19,10,10,"10",10,1,44,"+1:05.873",6356931,25,14,"01:54.3","220.517",1
23191,960,830,9,33,2,11,"11",11,0,44,"+1:11.138",6362196,32,7,"01:53.3","222.582",1
23192,960,821,210,21,18,12,"12",12,0,44,"+1:13.877",6364935,26,13,"01:54.3","220.53",1
23193,960,154,210,8,11,13,"13",13,0,44,"+1:16.474",6367532,25,11,"01:53.8","221.561",1
23194,960,826,5,26,19,14,"14",14,0,44,"+1:27.097",6378155,37,3,"01:52.1","224.965",1
23195,960,835,4,30,13,15,"15",15,0,44,"+1:33.165",6384223,41,6,"01:53.3","222.641",1
23196,960,839,209,31,17,16,"16",16,0,43,"",NA,26,16,"01:55.7","217.865",11
23197,960,831,15,12,16,17,"17",17,0,43,"",NA,31,17,"01:56.2","217.081",11
23198,960,825,4,20,12,NA,"R",18,0,5,"",NA,4,18,"01:56.6","216.269",3
23199,960,828,15,9,20,NA,"R",19,0,3,"",NA,2,19,"02:15.3","186.421",6
23200,960,832,5,55,14,NA,"R",20,0,1,"",NA,NA,0,"","",29
23201,960,18,1,22,9,NA,"R",21,0,1,"",NA,NA,0,"","",130
23202,960,836,209,94,15,NA,"R",22,0,0,"",NA,NA,0,"","",130
23203,961,3,131,6,2,1,"1",1,25,53,"17:28.1",4648089,26,9,"01:26.6","240.82",1
23204,961,1,131,44,1,2,"2",2,18,53,"15.07",4663159,27,4,"01:26.3","241.646",1
23205,961,20,6,5,3,3,"3",3,15,53,"20.99",4669079,48,5,"01:26.3","241.626",1
23206,961,8,6,7,4,4,"4",4,12,53,"27.561",4675650,50,3,"01:26.0","242.452",1
23207,961,817,9,3,6,5,"5",5,10,53,"45.295",4693384,52,2,"01:25.9","242.726",1
23208,961,822,3,77,5,6,"6",6,8,53,"51.015",4699104,46,10,"01:26.7","240.517",1
23209,961,830,9,33,7,7,"7",7,6,53,"54.236",4702325,50,8,"01:26.4","241.361",1
23210,961,815,10,11,8,8,"8",8,4,53,"+1:04.954",4713043,40,12,"01:26.9","239.93",1
23211,961,13,3,19,11,9,"9",9,2,53,"+1:05.617",4713706,50,7,"01:26.4","241.375",1
23212,961,807,10,27,9,10,"10",10,1,53,"+1:18.656",4726745,40,13,"01:27.0","239.837",1
23213,961,154,210,8,17,11,"11",11,0,52,"",NA,50,15,"01:27.2","239.086",11
23214,961,18,1,22,14,12,"12",12,0,52,"",NA,40,6,"01:26.4","241.503",11
23215,961,821,210,21,10,13,"13",13,0,52,"",NA,42,14,"01:27.1","239.418",11
23216,961,4,1,14,12,14,"14",14,0,52,"",NA,51,1,"01:25.3","244.373",11
23217,961,832,5,55,15,15,"15",15,0,52,"",NA,41,11,"01:26.8","240.398",11
23218,961,828,15,9,19,16,"16",16,0,52,"",NA,37,19,"01:28.6","235.509",11
23219,961,825,4,20,21,17,"17",17,0,52,"",NA,52,16,"01:27.6","238.019",11
23220,961,839,209,31,22,18,"18",18,0,51,"",NA,51,18,"01:28.5","235.556",12
23221,961,826,5,26,16,NA,"R",19,0,36,"",NA,35,17,"01:28.0","236.886",84
23222,961,836,209,94,13,NA,"R",20,0,26,"",NA,18,20,"01:28.7","235.055",44
23223,961,835,4,30,20,NA,"R",21,0,7,"",NA,4,21,"01:31.4","228.268",130
